ID,Model Name,Category,Domain,Query Type,Latency (ms),Response Accuracy (%),Performance Time (s),Memory Usage (MB),Concurrent Queries,Optimization Technique,Notes
444,Johnson-NorrisBot,Open-Source,E-commerce,Simple Query,637,81.11,3.86,1415,35,Model Pruning,Reduced memory footprint
445,Miller-ChapmanBot,Domain-Specific,Retail,Simple Query,695,94.84,1.04,1948,22,Model Pruning,Reduced memory footprint
446,Hanson-BrooksBot,Domain-Specific,E-commerce,Simple Query,401,82.74,4.67,740,5,Model Pruning,Improved adaptive response
447,Woods-YoungBot,Rule-Based,Education,Simple Query,907,79.39,3.24,739,21,Baseline,Improved adaptive response
448,MccarthyAlvarezandTurnerBot,Hybrid,E-commerce,Simple Query,424,91.53,4.65,1066,28,Reinforcement Learning,No optimization applied
449,JohnsonFrazierandHillBot,Hybrid,Retail,Complex Query,258,90.02,3.26,1975,38,Baseline,No optimization applied
450,WagnerWilliamsandJohnsonBot,Custom,Education,Multi-turn Query,682,94.31,1.2,1526,49,Reinforcement Learning,Reduced memory footprint
451,Taylor-SimsBot,Open-Source,Retail,Multi-turn Query,987,92.98,2.03,1235,10,Reinforcement Learning,Improved adaptive response
452,LawrenceWilliamsandLeeBot,Rule-Based,Finance,Multi-turn Query,382,83.19,1.85,448,46,Model Pruning,No optimization applied
453,SmithPLCBot,Domain-Specific,Finance,Simple Query,896,89.45,4.56,1753,43,Reinforcement Learning,Faster architecture
454,Lin-BurnsBot,Custom,E-commerce,Complex Query,544,90.54,0.85,1347,44,Baseline,No optimization applied
455,WallerLLCBot,Rule-Based,Finance,Complex Query,940,82.98,1.96,1788,34,Neural Architecture Search,Faster architecture
456,JohnstonDaltonandRileyBot,Rule-Based,E-commerce,Complex Query,564,79.38,2.67,1843,26,Reinforcement Learning,Improved adaptive response
457,WallerLLCBot,Hybrid,E-commerce,Multi-turn Query,106,77.41,3.54,444,3,Reinforcement Learning,No optimization applied
458,Johnson-NorrisBot,Rule-Based,Education,Complex Query,554,92.32,3.96,1486,48,Model Pruning,Faster architecture
459,HayesRoachandCarrollBot,Rule-Based,Healthcare,Simple Query,209,88.83,3.46,1164,25,Model Pruning,Reduced memory footprint
460,RiosGriffinandRamirezBot,Custom,E-commerce,Multi-turn Query,616,81.43,4.79,1034,24,Baseline,Faster architecture
461,Mclaughlin-HughesBot,Domain-Specific,Healthcare,Complex Query,650,84.18,3.43,1141,43,Reinforcement Learning,No optimization applied
462,WilsonWardandFryBot,Open-Source,Finance,Multi-turn Query,993,91.56,2.78,656,1,Neural Architecture Search,Improved adaptive response
463,LawrenceWilliamsandLeeBot,Hybrid,Finance,Multi-turn Query,976,83.07,1.4,435,9,Neural Architecture Search,Improved adaptive response
464,ClarkWoodardandCamposBot,Hybrid,E-commerce,Simple Query,419,82.01,4.83,1865,50,Neural Architecture Search,Faster architecture
465,WilsonWardandFryBot,Custom,E-commerce,Complex Query,151,85.66,2.75,1766,31,Reinforcement Learning,Improved adaptive response
466,Hart-JosephBot,Rule-Based,Healthcare,Complex Query,613,94.07,3.01,644,36,Model Pruning,Improved adaptive response
467,HoffmanIncBot,Domain-Specific,E-commerce,Simple Query,272,89.88,3.33,999,14,Reinforcement Learning,No optimization applied
468,ThomasGroupBot,Custom,Education,Complex Query,586,86.4,1.16,1810,49,Reinforcement Learning,Faster architecture
469,RhodesRandolphandRodriguezBot,Custom,Healthcare,Multi-turn Query,515,92.87,0.72,1955,47,Neural Architecture Search,Reduced memory footprint
470,DelgadoBurtonandHoodBot,Custom,Retail,Multi-turn Query,894,91.65,2.18,606,39,Model Pruning,Improved adaptive response
471,SnyderWarrenandBrownBot,Rule-Based,Retail,Simple Query,288,86.21,1.45,1254,50,Reinforcement Learning,Faster architecture
472,Turner-GreenBot,Open-Source,Finance,Complex Query,503,88.22,0.71,1463,19,Baseline,Faster architecture
473,Hunt-GarzaBot,Open-Source,Retail,Simple Query,263,81.73,3.14,1863,37,Model Pruning,Improved adaptive response
474,TrevinoIncBot,Open-Source,Healthcare,Simple Query,973,88.25,4.33,1457,21,Reinforcement Learning,No optimization applied
475,Bowman-BernardBot,Open-Source,Finance,Simple Query,207,94.23,0.55,1501,11,Model Pruning,Reduced memory footprint
476,CarterLtdBot,Custom,Finance,Simple Query,437,82.9,1.63,625,44,Baseline,Faster architecture
477,AdkinsPLCBot,Hybrid,Healthcare,Complex Query,126,93.62,0.87,291,37,Reinforcement Learning,No optimization applied
478,EspinozaGroupBot,Open-Source,Retail,Multi-turn Query,284,80.33,0.6,1967,30,Model Pruning,Reduced memory footprint
479,NealMitchellandCoxBot,Domain-Specific,E-commerce,Multi-turn Query,773,85.32,2.13,830,37,Model Pruning,No optimization applied
480,Fernandez-ButlerBot,Open-Source,Education,Complex Query,957,78.22,3.1,1151,46,Baseline,No optimization applied
481,Turner-GreenBot,Rule-Based,Finance,Multi-turn Query,661,89.39,1.91,1141,42,Baseline,Faster architecture
482,Butler-BensonBot,Domain-Specific,Retail,Multi-turn Query,951,88.71,1.68,1101,27,Model Pruning,Improved adaptive response
483,Ramos-SanchezBot,Domain-Specific,Finance,Multi-turn Query,906,75.87,4.9,332,15,Reinforcement Learning,No optimization applied
484,ThomasGroupBot,Domain-Specific,Healthcare,Complex Query,878,84.45,4.63,2036,47,Model Pruning,Reduced memory footprint
485,Ramos-SanchezBot,Hybrid,Finance,Multi-turn Query,899,89.86,2.51,1268,43,Neural Architecture Search,Reduced memory footprint
486,GutierrezBushandThomasBot,Rule-Based,Finance,Complex Query,742,82.98,1.11,1982,22,Reinforcement Learning,Faster architecture
487,GravesPLCBot,Hybrid,E-commerce,Simple Query,578,82.93,2.01,361,29,Model Pruning,Improved adaptive response
488,Carson-BurkeBot,Rule-Based,Finance,Complex Query,529,94.49,4.52,762,26,Neural Architecture Search,Faster architecture
489,AguilarLLCBot,Hybrid,Healthcare,Multi-turn Query,838,75.2,2.8,822,44,Baseline,Faster architecture
490,HaleyIncBot,Domain-Specific,Healthcare,Complex Query,899,77.84,1.19,1080,47,Neural Architecture Search,Reduced memory footprint
491,LawrenceWilliamsandLeeBot,Custom,E-commerce,Complex Query,561,84.27,2.54,584,5,Baseline,Reduced memory footprint
492,KleinGroupBot,Hybrid,Finance,Simple Query,114,80.45,0.81,371,38,Baseline,Reduced memory footprint
493,ButlerBrownandFernandezBot,Rule-Based,Education,Simple Query,372,86.51,2.7,1165,9,Reinforcement Learning,Faster architecture
494,Ramos-SanchezBot,Hybrid,Finance,Simple Query,584,88.35,4.28,549,37,Baseline,Reduced memory footprint
495,Santos-RodgersBot,Custom,Healthcare,Complex Query,485,91.13,1.76,1362,12,Model Pruning,Faster architecture
496,Durham-StanleyBot,Rule-Based,Finance,Multi-turn Query,152,92.73,4.56,370,13,Neural Architecture Search,Reduced memory footprint
497,CarterLtdBot,Custom,Healthcare,Complex Query,267,75.81,2.08,739,50,Neural Architecture Search,Improved adaptive response
498,NicholsPLCBot,Rule-Based,Finance,Multi-turn Query,892,79.05,1.78,861,25,Neural Architecture Search,Reduced memory footprint
499,Ochoa-ChanBot,Open-Source,E-commerce,Simple Query,774,93.48,2.72,2008,15,Reinforcement Learning,No optimization applied
500,NicholsPLCBot,Open-Source,Education,Complex Query,694,77.56,4.14,1245,37,Neural Architecture Search,No optimization applied
501,GardnerCarrollandJonesBot,Custom,Healthcare,Multi-turn Query,426,80.51,1.2,1763,5,Model Pruning,Faster architecture
502,WallerLLCBot,Domain-Specific,Education,Simple Query,635,80.81,1.89,1239,41,Model Pruning,Reduced memory footprint
503,Fernandez-ButlerBot,Rule-Based,Finance,Simple Query,824,83.7,2.23,1200,21,Model Pruning,No optimization applied
504,PerryGroupBot,Rule-Based,Retail,Simple Query,659,75.43,0.6,1263,9,Model Pruning,Reduced memory footprint
505,HaleyIncBot,Domain-Specific,Education,Simple Query,540,91.85,3.71,1694,38,Model Pruning,Improved adaptive response
506,BrownMillerandNguyenBot,Domain-Specific,Healthcare,Multi-turn Query,556,85.57,2.5,1150,38,Neural Architecture Search,No optimization applied
507,Mcconnell-FloresBot,Hybrid,Finance,Multi-turn Query,613,82.46,3.34,1776,7,Neural Architecture Search,Faster architecture
508,CarterLtdBot,Hybrid,Finance,Simple Query,415,83,2.77,518,34,Reinforcement Learning,Reduced memory footprint
509,Vazquez-MorenoBot,Rule-Based,Education,Multi-turn Query,200,85.24,3.94,698,26,Model Pruning,Faster architecture
510,AndersonPLCBot,Custom,Healthcare,Complex Query,981,91,2.14,688,39,Neural Architecture Search,Reduced memory footprint
511,SnyderWarrenandBrownBot,Hybrid,Education,Multi-turn Query,928,82.8,1.55,742,2,Model Pruning,No optimization applied
512,CamachoIncBot,Domain-Specific,E-commerce,Multi-turn Query,290,83.87,0.63,724,6,Baseline,No optimization applied
513,FrazierDiazandCruzBot,Custom,Retail,Simple Query,825,88.94,2.81,820,39,Model Pruning,Improved adaptive response
514,EdwardsGroupBot,Domain-Specific,E-commerce,Simple Query,752,88.47,3.85,306,24,Neural Architecture Search,Reduced memory footprint
515,KleinGroupBot,Domain-Specific,Education,Complex Query,405,85.84,3.11,1903,3,Baseline,Reduced memory footprint
516,GriffithGreenandCruzBot,Custom,Finance,Complex Query,710,84.25,1.09,1611,10,Neural Architecture Search,Improved adaptive response
517,RowlandMartinandGarciaBot,Custom,Finance,Multi-turn Query,183,92.28,2.9,1370,45,Baseline,Improved adaptive response
518,Hanson-BrooksBot,Open-Source,Healthcare,Complex Query,512,85.03,1.13,1404,29,Neural Architecture Search,Faster architecture
519,SmithPLCBot,Custom,E-commerce,Simple Query,502,82.2,2.61,994,23,Baseline,Reduced memory footprint
520,ThomasGroupBot,Domain-Specific,Healthcare,Multi-turn Query,136,90.9,2.69,1140,50,Baseline,No optimization applied
521,JohnsonChapmanandRossBot,Hybrid,Finance,Complex Query,686,90.37,3.37,1028,27,Reinforcement Learning,Improved adaptive response
522,Russell-SharpBot,Hybrid,E-commerce,Simple Query,519,88.66,1.6,1225,19,Model Pruning,Faster architecture
523,Miller-ChapmanBot,Rule-Based,Retail,Multi-turn Query,584,77.44,2.85,1976,50,Reinforcement Learning,No optimization applied
524,Nguyen-MercadoBot,Rule-Based,Finance,Simple Query,980,94.64,4.37,1370,36,Reinforcement Learning,No optimization applied
525,GutierrezBushandThomasBot,Open-Source,Education,Complex Query,712,85.5,2.23,1315,23,Baseline,Improved adaptive response
526,TrevinoIncBot,Domain-Specific,Education,Complex Query,646,89.12,4.93,1206,45,Reinforcement Learning,No optimization applied
527,Hart-JosephBot,Domain-Specific,Finance,Complex Query,103,89.35,1.07,1179,10,Model Pruning,No optimization applied
528,RiosGriffinandRamirezBot,Hybrid,E-commerce,Simple Query,148,77.95,1.01,2025,48,Neural Architecture Search,Faster architecture
529,NealMitchellandCoxBot,Custom,E-commerce,Simple Query,981,81.74,2.01,1546,27,Neural Architecture Search,Reduced memory footprint
530,Cochran-HarrisBot,Rule-Based,E-commerce,Complex Query,549,85.63,1.89,2018,44,Reinforcement Learning,Improved adaptive response
531,Durham-StanleyBot,Domain-Specific,Retail,Complex Query,740,93.73,2.31,1301,43,Reinforcement Learning,Faster architecture
532,Hart-JosephBot,Custom,Finance,Complex Query,797,94.79,2.63,463,30,Neural Architecture Search,Faster architecture
533,RichmondLLCBot,Open-Source,Finance,Simple Query,715,84.38,1.23,513,25,Neural Architecture Search,Improved adaptive response
534,RiosGriffinandRamirezBot,Domain-Specific,Education,Multi-turn Query,927,79.85,1.65,916,6,Baseline,No optimization applied
535,Baldwin-LaraBot,Domain-Specific,Education,Complex Query,454,92.41,3.52,360,23,Model Pruning,No optimization applied
536,Welch-GuerreroBot,Custom,E-commerce,Multi-turn Query,836,92.82,1.22,1014,9,Neural Architecture Search,Improved adaptive response
537,DelgadoBurtonandHoodBot,Hybrid,Healthcare,Complex Query,450,81.6,1.84,343,38,Reinforcement Learning,No optimization applied
538,Turner-GreenBot,Custom,Education,Multi-turn Query,277,94.71,3.11,422,50,Baseline,Faster architecture
539,Wyatt-WrightBot,Domain-Specific,Education,Complex Query,625,82.45,1.39,1134,46,Reinforcement Learning,Improved adaptive response
540,CarterLtdBot,Custom,Healthcare,Multi-turn Query,804,76.01,4.18,1444,32,Baseline,Faster architecture
541,Santos-RodgersBot,Rule-Based,Retail,Complex Query,429,93.61,0.94,1191,33,Baseline,Faster architecture
542,SnyderWarrenandBrownBot,Hybrid,Retail,Multi-turn Query,688,79.91,1.31,884,13,Reinforcement Learning,No optimization applied
543,WoodsIncBot,Hybrid,Retail,Simple Query,590,77.6,3.86,1637,7,Baseline,Improved adaptive response
544,ClarkWoodardandCamposBot,Hybrid,Healthcare,Simple Query,336,81.19,1.9,809,8,Model Pruning,Improved adaptive response
545,Miller-RamirezBot,Domain-Specific,E-commerce,Complex Query,651,88.88,3.14,457,42,Reinforcement Learning,No optimization applied
546,NelsonPLCBot,Open-Source,Retail,Simple Query,665,76.77,3.08,497,47,Neural Architecture Search,Faster architecture
547,RhodesRandolphandRodriguezBot,Hybrid,Healthcare,Complex Query,982,83.59,1.12,1049,16,Neural Architecture Search,No optimization applied
548,Butler-BensonBot,Rule-Based,Education,Multi-turn Query,141,79.64,4.79,1476,6,Reinforcement Learning,Reduced memory footprint
549,WagnerWilliamsandJohnsonBot,Custom,Retail,Complex Query,171,84.46,3.75,1900,15,Model Pruning,Faster architecture
550,Hart-JosephBot,Domain-Specific,E-commerce,Simple Query,892,81.65,2.2,565,46,Baseline,Faster architecture
551,AguilarLLCBot,Custom,Finance,Simple Query,560,89.16,2.66,767,13,Model Pruning,Improved adaptive response
552,WallerLLCBot,Open-Source,E-commerce,Complex Query,437,80.4,1.85,1521,20,Reinforcement Learning,No optimization applied
553,NelsonPLCBot,Hybrid,E-commerce,Simple Query,505,88.75,1.43,1899,23,Baseline,Reduced memory footprint
554,Baldwin-MartinBot,Custom,Finance,Multi-turn Query,998,81.55,0.89,280,38,Neural Architecture Search,Faster architecture
555,Vazquez-MorenoBot,Domain-Specific,Retail,Simple Query,381,85.41,2.15,934,28,Neural Architecture Search,Improved adaptive response
556,CombsJonesandRamseyBot,Rule-Based,Education,Complex Query,375,88.36,1.72,1660,30,Baseline,Improved adaptive response
557,Vazquez-MorenoBot,Open-Source,Healthcare,Simple Query,696,88.4,2.05,555,50,Baseline,Faster architecture
558,TrevinoIncBot,Open-Source,Healthcare,Simple Query,710,81.11,4.69,1663,42,Neural Architecture Search,Reduced memory footprint
559,KiddLtdBot,Domain-Specific,Healthcare,Multi-turn Query,493,79.79,0.55,1207,36,Neural Architecture Search,No optimization applied
560,JohnstonDaltonandRileyBot,Custom,Healthcare,Simple Query,256,87.02,2.23,868,12,Reinforcement Learning,Improved adaptive response
561,Russell-SharpBot,Open-Source,E-commerce,Complex Query,242,77.71,3.34,661,29,Baseline,Faster architecture
562,HayesRoachandCarrollBot,Rule-Based,Education,Multi-turn Query,766,86.12,4.66,917,48,Model Pruning,Reduced memory footprint
563,Durham-StanleyBot,Hybrid,Finance,Complex Query,583,76.22,3.7,1792,6,Baseline,Improved adaptive response
564,KiddLtdBot,Custom,Retail,Simple Query,382,80.25,4.37,1319,24,Neural Architecture Search,No optimization applied
565,DelgadoBurtonandHoodBot,Custom,Healthcare,Multi-turn Query,137,85.7,3.57,541,41,Reinforcement Learning,No optimization applied
566,CoxGroupBot,Rule-Based,Retail,Multi-turn Query,341,75.61,2.45,814,7,Reinforcement Learning,No optimization applied
567,GravesPLCBot,Domain-Specific,Healthcare,Multi-turn Query,598,85.41,4.75,1305,34,Reinforcement Learning,Faster architecture
568,Nielsen-DiazBot,Custom,E-commerce,Simple Query,693,86.47,4.09,1532,27,Neural Architecture Search,Faster architecture
569,DelgadoBurtonandHoodBot,Open-Source,Finance,Complex Query,808,92.99,3.01,415,16,Reinforcement Learning,Reduced memory footprint
570,Wyatt-WrightBot,Hybrid,Education,Multi-turn Query,488,79.91,4.18,1292,45,Model Pruning,Improved adaptive response
571,JohnsonFrazierandHillBot,Domain-Specific,Finance,Complex Query,970,85.69,4.4,1143,11,Reinforcement Learning,Faster architecture
572,LawrenceWilliamsandLeeBot,Custom,Finance,Multi-turn Query,152,78.78,4.92,302,38,Model Pruning,Reduced memory footprint
573,CoxGroupBot,Domain-Specific,Healthcare,Complex Query,921,93.77,2.2,1265,30,Reinforcement Learning,Reduced memory footprint
574,KleinIncBot,Custom,Retail,Multi-turn Query,740,81.23,1.15,1523,33,Model Pruning,Faster architecture
575,Durham-StanleyBot,Hybrid,Healthcare,Multi-turn Query,418,85.15,2.46,945,12,Model Pruning,Reduced memory footprint
576,PerryGroupBot,Open-Source,Retail,Simple Query,186,87.62,4.32,1038,7,Model Pruning,Faster architecture
577,Snyder-WilliamsonBot,Domain-Specific,Finance,Simple Query,721,84.44,1.95,1272,17,Baseline,Improved adaptive response
578,Hanson-BrooksBot,Custom,E-commerce,Simple Query,242,86.91,1.24,1233,4,Neural Architecture Search,Reduced memory footprint
579,RichmondLLCBot,Custom,Healthcare,Complex Query,473,94.82,3.07,715,6,Baseline,Improved adaptive response
580,Lewis-CalderonBot,Hybrid,E-commerce,Simple Query,624,92.51,1.65,1926,27,Reinforcement Learning,Faster architecture
581,MccoyAndrewsandHicksBot,Hybrid,Retail,Simple Query,106,77.98,4.61,1913,17,Baseline,Faster architecture
582,Hanson-BrooksBot,Hybrid,Education,Multi-turn Query,804,79.67,1.17,558,49,Model Pruning,Faster architecture
583,Wyatt-WrightBot,Open-Source,Finance,Multi-turn Query,718,80.34,1.44,952,34,Reinforcement Learning,Reduced memory footprint
584,Cochran-HarrisBot,Open-Source,Finance,Multi-turn Query,247,91.62,1.87,2007,47,Reinforcement Learning,Reduced memory footprint
585,Mclaughlin-HughesBot,Hybrid,Education,Simple Query,981,94.95,4.28,1731,48,Model Pruning,Reduced memory footprint
586,NicholsPLCBot,Custom,Education,Complex Query,478,94.02,3.44,1186,20,Model Pruning,No optimization applied
587,WagnerWilliamsandJohnsonBot,Rule-Based,Education,Complex Query,363,91.13,1.88,1939,27,Model Pruning,Faster architecture
588,Hall-MolinaBot,Domain-Specific,Education,Multi-turn Query,285,83.27,1.39,604,15,Reinforcement Learning,Improved adaptive response
589,Woods-YoungBot,Domain-Specific,Education,Multi-turn Query,395,92.22,1.9,803,30,Baseline,Improved adaptive response
590,GardnerCarrollandJonesBot,Rule-Based,Retail,Simple Query,881,93.19,2.69,1046,27,Neural Architecture Search,Reduced memory footprint
591,JonesWalkerandWhiteBot,Custom,Education,Simple Query,435,87.67,3.37,1942,27,Model Pruning,Improved adaptive response
592,Hall-MolinaBot,Rule-Based,Finance,Multi-turn Query,359,82.18,3.23,1462,32,Model Pruning,No optimization applied
593,ButlerBrownandFernandezBot,Custom,Finance,Simple Query,650,91.61,2.85,408,7,Baseline,Reduced memory footprint
594,CarterLtdBot,Custom,Retail,Complex Query,746,86.73,3.74,398,38,Baseline,Reduced memory footprint
595,Durham-StanleyBot,Custom,Finance,Simple Query,677,75.32,2.88,299,22,Baseline,Improved adaptive response
596,Baldwin-LaraBot,Custom,Finance,Multi-turn Query,831,78.47,1.62,1311,34,Neural Architecture Search,Improved adaptive response
597,RowlandMartinandGarciaBot,Open-Source,E-commerce,Simple Query,326,88.44,4.59,1859,11,Model Pruning,Faster architecture
598,DelgadoBurtonandHoodBot,Domain-Specific,Education,Multi-turn Query,254,80.26,1.23,1405,7,Neural Architecture Search,No optimization applied
599,CamachoIncBot,Domain-Specific,Retail,Complex Query,594,85.84,1.38,874,45,Model Pruning,Faster architecture
600,Lewis-CalderonBot,Hybrid,Education,Multi-turn Query,587,94.76,4.71,615,7,Baseline,Improved adaptive response
601,Nielsen-DiazBot,Rule-Based,Education,Simple Query,206,81.88,1.41,970,18,Baseline,No optimization applied
602,DelgadoBurtonandHoodBot,Open-Source,Healthcare,Complex Query,805,93.79,2.56,1847,2,Neural Architecture Search,No optimization applied
603,Greene-CoxBot,Domain-Specific,Education,Multi-turn Query,852,94.5,2,434,41,Baseline,No optimization applied
604,KleinGroupBot,Open-Source,Finance,Simple Query,209,90.3,3.93,997,22,Model Pruning,Reduced memory footprint
605,WallerLtdBot,Custom,Retail,Complex Query,653,89.37,3.2,403,24,Neural Architecture Search,Faster architecture
606,PerryGroupBot,Open-Source,Healthcare,Simple Query,272,80.4,3.81,953,2,Reinforcement Learning,Faster architecture
607,Russell-SharpBot,Open-Source,Retail,Complex Query,922,87.72,1.51,312,21,Reinforcement Learning,Improved adaptive response
608,CollinsThompsonandBrownBot,Rule-Based,Finance,Multi-turn Query,659,82.49,4.93,1573,18,Model Pruning,Faster architecture
609,Butler-BensonBot,Domain-Specific,Retail,Simple Query,202,91.9,3.21,1861,22,Reinforcement Learning,No optimization applied
610,NelsonPLCBot,Open-Source,Finance,Multi-turn Query,119,90.4,3.08,791,44,Model Pruning,Improved adaptive response
611,Randolph-JohnsonBot,Open-Source,Finance,Complex Query,338,76.84,1.07,1822,16,Model Pruning,No optimization applied
612,Baldwin-LaraBot,Domain-Specific,Healthcare,Complex Query,740,89.51,1.65,1843,18,Baseline,Reduced memory footprint
613,LawrenceWilliamsandLeeBot,Domain-Specific,E-commerce,Multi-turn Query,439,79.97,1.71,1768,41,Reinforcement Learning,Reduced memory footprint
614,DixonPLCBot,Hybrid,Retail,Complex Query,254,83.65,4.27,570,50,Baseline,Reduced memory footprint
615,Turner-GreenBot,Custom,Retail,Multi-turn Query,698,89.92,1.95,802,42,Baseline,No optimization applied
616,McdanielLLCBot,Hybrid,Healthcare,Complex Query,911,94.58,2.69,1819,48,Model Pruning,Faster architecture
617,RichmondLLCBot,Hybrid,E-commerce,Complex Query,761,86.35,1.09,1620,20,Reinforcement Learning,No optimization applied
618,Lewis-CalderonBot,Domain-Specific,Education,Complex Query,726,94.47,3.15,1239,12,Baseline,Faster architecture
619,MorrowandSonsBot,Custom,Healthcare,Complex Query,561,84.49,3.41,989,23,Reinforcement Learning,Improved adaptive response
620,ThomasGroupBot,Rule-Based,E-commerce,Multi-turn Query,544,94.37,3.85,1151,44,Model Pruning,Faster architecture
621,MurphyHarringtonandFerrellBot,Domain-Specific,Retail,Multi-turn Query,788,77.69,4.9,1273,29,Reinforcement Learning,Faster architecture
622,RussellWilsonandAllisonBot,Open-Source,Education,Complex Query,619,92.16,1.23,1792,4,Reinforcement Learning,Improved adaptive response
623,Hanson-BrooksBot,Rule-Based,Education,Simple Query,998,87.36,1.51,1629,16,Baseline,Faster architecture
624,Mclaughlin-HughesBot,Custom,Healthcare,Multi-turn Query,941,92.49,2.69,416,6,Baseline,Faster architecture
625,AguilarLLCBot,Open-Source,Healthcare,Complex Query,330,83.9,4.04,888,49,Neural Architecture Search,Improved adaptive response
626,RiosGriffinandRamirezBot,Hybrid,Retail,Multi-turn Query,676,83.97,2.94,1174,13,Baseline,Reduced memory footprint
627,AdkinsPLCBot,Rule-Based,Retail,Simple Query,197,90.25,3.46,1961,24,Neural Architecture Search,Reduced memory footprint
628,RowlandMartinandGarciaBot,Hybrid,Healthcare,Simple Query,805,83.03,1.4,506,21,Neural Architecture Search,Faster architecture
629,MurphyHarringtonandFerrellBot,Open-Source,Finance,Multi-turn Query,999,86.66,4.76,1906,29,Baseline,Improved adaptive response
630,FosterMullenandJohnsonBot,Open-Source,E-commerce,Simple Query,264,75.58,1.48,1192,30,Model Pruning,Faster architecture
631,Hanson-BrooksBot,Open-Source,Retail,Simple Query,787,80.35,4.96,824,23,Reinforcement Learning,Reduced memory footprint
632,LawrenceWilliamsandLeeBot,Hybrid,Retail,Multi-turn Query,297,86.54,1.28,1627,11,Reinforcement Learning,Improved adaptive response
633,HaleyIncBot,Domain-Specific,Retail,Simple Query,563,83.39,0.79,1472,49,Neural Architecture Search,Faster architecture
634,RiosGriffinandRamirezBot,Hybrid,Finance,Simple Query,136,81.72,2.33,558,27,Model Pruning,No optimization applied
635,GriffithGreenandCruzBot,Domain-Specific,E-commerce,Simple Query,873,79.42,0.87,1512,15,Model Pruning,Improved adaptive response
636,SmithPLCBot,Rule-Based,Finance,Simple Query,241,85.67,3.01,1364,30,Model Pruning,Faster architecture
637,MccarthyAlvarezandTurnerBot,Rule-Based,Healthcare,Complex Query,572,88.09,1.67,515,35,Reinforcement Learning,No optimization applied
638,Miller-RamirezBot,Domain-Specific,E-commerce,Simple Query,459,75.05,1.96,563,8,Neural Architecture Search,Faster architecture
639,RowlandMartinandGarciaBot,Domain-Specific,Education,Simple Query,552,75.96,0.89,553,7,Neural Architecture Search,Faster architecture
640,Crawford-HoodBot,Rule-Based,Healthcare,Simple Query,580,92.12,1.85,692,10,Baseline,Reduced memory footprint
641,MorrowandSonsBot,Open-Source,Education,Simple Query,474,75.15,3.15,295,13,Reinforcement Learning,No optimization applied
642,Hanson-BrooksBot,Domain-Specific,Retail,Multi-turn Query,517,94.66,2.19,1594,43,Model Pruning,Improved adaptive response
643,KleinIncBot,Custom,Retail,Simple Query,501,88.78,4.29,1669,34,Model Pruning,Faster architecture
644,ClarkWoodardandCamposBot,Open-Source,Retail,Complex Query,620,93.78,2.24,1851,16,Baseline,No optimization applied
645,NelsonPLCBot,Open-Source,E-commerce,Multi-turn Query,833,77.19,3.47,939,41,Reinforcement Learning,Reduced memory footprint
646,SmithPLCBot,Domain-Specific,Finance,Multi-turn Query,989,84.62,1.16,1964,7,Baseline,Faster architecture
647,ClarkWoodardandCamposBot,Rule-Based,E-commerce,Complex Query,857,81.61,4.07,744,29,Model Pruning,Improved adaptive response
648,Mcconnell-FloresBot,Custom,Retail,Simple Query,311,94.09,4.43,1005,37,Reinforcement Learning,Improved adaptive response
649,NicholsPLCBot,Open-Source,Retail,Simple Query,628,85.66,4.25,1848,9,Model Pruning,Faster architecture
650,Hanson-BrooksBot,Rule-Based,Finance,Complex Query,307,92.32,3.47,1964,48,Neural Architecture Search,Reduced memory footprint
651,Bowman-BernardBot,Custom,Education,Simple Query,558,76.94,0.95,1452,3,Baseline,No optimization applied
652,Ramos-SanchezBot,Custom,Education,Complex Query,583,91.93,3.45,476,50,Baseline,Faster architecture
653,HayesRoachandCarrollBot,Domain-Specific,Finance,Simple Query,740,88.94,4.25,1573,4,Model Pruning,Reduced memory footprint
654,Hall-MolinaBot,Open-Source,Education,Complex Query,721,89.75,1.77,1046,28,Reinforcement Learning,Reduced memory footprint
655,Baldwin-LaraBot,Custom,E-commerce,Simple Query,706,90.96,3.77,1393,39,Baseline,No optimization applied
656,KiddLtdBot,Domain-Specific,Finance,Multi-turn Query,609,84.3,4.28,1154,26,Model Pruning,Reduced memory footprint
657,Trevino-PhillipsBot,Domain-Specific,Finance,Simple Query,213,94.4,3.31,1334,41,Neural Architecture Search,Reduced memory footprint
658,Greene-CoxBot,Custom,Retail,Simple Query,693,92.06,2.78,1510,7,Model Pruning,Faster architecture
659,Hart-JosephBot,Rule-Based,Finance,Simple Query,701,76.97,1.93,816,8,Neural Architecture Search,Faster architecture
660,Bowman-BernardBot,Domain-Specific,E-commerce,Multi-turn Query,463,78.38,2.63,1130,46,Model Pruning,No optimization applied
661,AguilarLLCBot,Hybrid,E-commerce,Simple Query,559,84.01,0.63,1700,16,Neural Architecture Search,Improved adaptive response
662,Bowman-BernardBot,Hybrid,Education,Multi-turn Query,276,81.14,4.93,918,16,Model Pruning,Reduced memory footprint
663,NelsonPLCBot,Open-Source,Healthcare,Multi-turn Query,653,78.1,2.4,1681,19,Neural Architecture Search,Improved adaptive response
664,DelgadoBurtonandHoodBot,Open-Source,Retail,Multi-turn Query,644,93.92,3.71,1381,41,Reinforcement Learning,Faster architecture
665,Nguyen-MercadoBot,Open-Source,Education,Multi-turn Query,474,84.81,2.98,1233,31,Model Pruning,Improved adaptive response
